symbol,trade_ts,ingestion_ts,price,trade_conditions,type,uuid,volume
BINANCE:BTCUSDT,2024-12-02 19:03:27.973+0000,2024-12-02 19:04:01.586+0000,95520.850000000006,,trade,1771fb46-e12c-4f92-b739-2863668257f5,0.00035
BINANCE:BTCUSDT,2024-12-02 19:03:28.068+0000,2024-12-02 19:04:01.586+0000,95520.850000000006,,trade,5b436967-842a-4828-840e-d7d4b847654e,7e-05
BINANCE:BTCUSDT,2024-12-02 19:03:28.591+0000,2024-12-02 19:04:01.586+0000,95520.850000000006,,trade,bea19897-c693-4516-a0ff-c73e1ee6fafc,0.00655
BINANCE:BTCUSDT,2024-12-02 19:03:28.625+0000,2024-12-02 19:04:01.586+0000,95520.860000000001,,trade,9ea94083-494a-4247-83f9-e482c30f22e9,0.01306
BINANCE:BTCUSDT,2024-12-02 19:03:28.980+0000,2024-12-02 19:04:01.586+0000,95520.860000000001,,trade,40380537-3192-4d47-b3f1-1f5828007539,0.00078
BINANCE:BTCUSDT,2024-12-02 19:03:29.036+0000,2024-12-02 19:04:01.586+0000,95520.860000000001,,trade,3915d995-2fc5-406b-9d49-2507bb881652,0.00085
BINANCE:BTCUSDT,2024-12-02 19:03:29.221+0000,2024-12-02 19:04:01.586+0000,95520.850000000006,,trade,87096194-6d8d-4a01-8abb-ca029bc66d53,0.001
BINANCE:BTCUSDT,2024-12-02 19:03:29.852+0000,2024-12-02 19:04:01.586+0000,95520.850000000006,,trade,b7eaa875-7b8b-4f70-b08e-a0db5e6e9991,0.00068
BINANCE:BTCUSDT,2024-12-02 19:03:29.980+0000,2024-12-02 19:04:01.586+0000,95520.850000000006,,trade,5bc29fa3-e788-437b-be4e-056d180b0a67,0.00071
BINANCE:BTCUSDT,2024-12-02 19:03:30.027+0000,2024-12-02 19:04:01.586+0000,95520.860000000001,,trade,80f2e0bf-9a03-4cae-9eaf-3a51b93913b3,0.00108
BINANCE:BTCUSDT,2024-12-02 19:03:30.252+0000,2024-12-02 19:04:01.586+0000,95520.860000000001,,trade,d367cb90-044b-463c-9e00-7c6a75b4b1ef,0.00084
BINANCE:BTCUSDT,2024-12-02 19:03:30.524+0000,2024-12-02 19:04:01.586+0000,95520.850000000006,,trade,e1ade64b-3776-4da4-ae48-c65322db6926,0.0012
BINANCE:BTCUSDT,2024-12-02 19:03:30.525+0000,2024-12-02 19:04:01.586+0000,95520.850000000006,,trade,c817d424-2e0f-463c-bb03-e654edbcb628,0.00467
BINANCE:BTCUSDT,2024-12-02 19:03:30.552+0000,2024-12-02 19:04:01.586+0000,95520.850000000006,,trade,aa824816-7ac5-457c-b7f2-37f8d08e47f3,0.00676
BINANCE:BTCUSDT,2024-12-02 19:03:30.558+0000,2024-12-02 19:04:01.586+0000,95520.850000000006,,trade,27083dfa-4604-4fa7-893c-49ab0d56369b,0.00081
BINANCE:BTCUSDT,2024-12-02 19:03:30.564+0000,2024-12-02 19:04:01.586+0000,95520.860000000001,,trade,6d71bf2e-7135-42d0-aeb7-dc1afd25bf35,0.00523
BINANCE:BTCUSDT,2024-12-02 19:03:30.650+0000,2024-12-02 19:04:01.586+0000,95520.850000000006,,trade,be3a1250-1360-446b-807b-ca0dcba99b69,0.00047
BINANCE:BTCUSDT,2024-12-02 19:03:30.935+0000,2024-12-02 19:04:01.586+0000,95520.850000000006,,trade,eec65f00-9150-44dc-b05d-3f4b550bd629,0.00118
BINANCE:BTCUSDT,2024-12-02 19:03:30.936+0000,2024-12-02 19:04:01.586+0000,95520.850000000006,,trade,80b14da6-c8cc-4dbc-895b-be08d4e6c702,0.00118
BINANCE:BTCUSDT,2024-12-02 19:03:31.010+0000,2024-12-02 19:04:01.586+0000,95520.860000000001,,trade,2603c5d3-e195-4e13-9b66-98bed35b1fec,0.00105
BINANCE:BTCUSDT,2024-12-02 19:03:31.322+0000,2024-12-02 19:04:01.586+0000,95520.850000000006,,trade,f1c5bea9-19f8-4391-9811-8c71ac8acae7,0.0123
BINANCE:BTCUSDT,2024-12-02 19:03:31.390+0000,2024-12-02 19:04:01.586+0000,95520.860000000001,,trade,d1692685-cf25-4ba6-9304-4c842f45b49d,0.00089
